Time (s),A-output,B-output
2.954963,-0.000086,-0.014368
2.959963,-0.009447,-0.018965
2.964963,-0.005193,-0.008719
2.969963,-0.002583,0.002435
2.974963,-0.011429,0.001758
2.979963,-0.007612,0.001015
2.984963,0.013568,0.009350
2.989963,0.029030,0.006399
2.994963,0.024503,-0.006403
2.999963,0.021642,-0.010848
3.004963,0.032517,-0.002727
3.009963,0.036526,0.001851
3.014963,0.023785,-0.002735
3.019963,0.017767,-0.005970
3.024963,0.028005,0.002287
3.029963,0.037744,-0.000644
3.034963,0.033139,-0.018729
3.039963,0.034033,-0.023621
3.044963,0.043391,-0.012065
3.049963,0.039106,-0.010316
3.054963,0.024985,-0.017590
3.059963,0.023936,-0.016830
3.064963,0.025026,-0.007314
3.069963,0.018937,-0.012006
3.074963,0.010415,-0.023373
3.079963,0.007342,-0.017422
3.084963,0.011391,-0.006845
3.089963,0.008603,-0.005601
3.094963,-0.000793,-0.010666
3.099963,-0.000214,-0.002890
3.104963,0.004240,0.005680
3.109963,-0.005674,-0.005371
3.114963,-0.012824,-0.013034
3.119963,-0.009396,-0.001844
3.124963,-0.010320,-0.006453
3.129963,-0.024388,-0.016386
3.134963,-0.022668,-0.014381
3.139963,-0.012271,-0.009442
3.144963,-0.012780,-0.012305
3.149963,-0.023219,-0.014877
3.154963,-0.024761,-0.006164
3.159963,-0.015431,0.003233
3.164963,-0.016291,0.002796
3.169963,-0.018460,-0.006438
3.174963,-0.008284,0.000205
3.179963,0.011342,-0.004325
3.184963,0.005445,-0.019753
3.189963,-0.000131,-0.021257
3.194963,0.006201,-0.021593
3.199963,0.000627,-0.028361
3.204963,0.004485,-0.019761
3.209963,0.018857,-0.008383
3.214963,0.016763,-0.015359
3.219963,0.011474,-0.025382
3.224963,0.023098,-0.025099
3.229963,0.033250,-0.025118
3.234963,0.032381,-0.030557
3.239963,0.029244,-0.022082
3.244963,0.030575,-0.015248
3.249963,0.027168,-0.011385
3.254963,0.022894,-0.010505
3.259963,0.021067,-0.011269
3.264963,0.021556,-0.014221
3.269963,0.031372,-0.018200
3.274963,0.038925,-0.012349
3.279963,0.032867,-0.013484
3.284963,0.020573,-0.018120
3.289963,0.012618,-0.013455
3.294963,0.006668,-0.013828
3.299963,-0.004254,-0.025616
3.304963,-0.003264,-0.018981
3.309963,0.011536,-0.014622
3.314963,0.009053,-0.024093
3.319963,0.005608,-0.018068
3.324963,-0.000693,-0.015818
3.329963,-0.019360,-0.015579
3.334963,-0.015091,-0.010369
3.339963,-0.007687,-0.012292
3.344963,-0.013388,-0.017007
3.349963,-0.013466,-0.014877
3.354963,-0.016587,-0.008255
3.359963,-0.015913,-0.006497
3.364963,-0.009926,-0.008959
3.369963,-0.013016,-0.013504
3.374963,-0.011154,-0.013481
3.379963,-0.005792,-0.006628
3.384963,-0.008809,-0.007815
3.389963,-0.006722,0.000203
3.394963,-0.004204,0.005057
3.399963,-0.017679,-0.007111
3.404963,-0.013163,-0.010069
3.409963,0.001917,-0.013277
3.414963,-0.001910,-0.018398
3.419963,0.000111,-0.030497
3.424963,0.004520,-0.038406
3.429963,0.014591,-0.031336
3.434963,0.021142,-0.035457
3.439963,0.010656,-0.042037
3.444963,0.015770,-0.028761
3.449963,0.026310,-0.019059
3.454963,0.025553,-0.015896
3.459963,0.029825,-0.017254
3.464963,0.017281,-0.022934
3.469963,0.010740,-0.022209
3.474963,0.017492,-0.031811
3.479963,0.014477,-0.035141
3.484963,0.024078,-0.029050
3.489963,0.016592,-0.023418
3.494963,0.011722,-0.010309
3.499963,0.025668,-0.009940
3.504963,0.016997,-0.017832
3.509963,0.012890,-0.010873
3.514963,0.012254,-0.003068
3.519963,0.009164,0.000715
3.524963,0.017017,-0.006467
3.529963,0.013780,-0.025665
3.534963,0.016430,-0.034439
3.539963,0.021213,-0.029028
3.544963,0.009969,-0.012646
3.549963,-0.000924,-0.005149
3.554963,-0.016715,-0.010502
3.559963,-0.018769,-0.013723
3.564963,-0.010701,-0.017191
3.569963,-0.005199,-0.010615
3.574963,0.002387,-0.005918
3.579963,-0.003755,-0.009987
3.584963,0.000506,-0.012944
3.589963,0.001242,-0.016009
3.594963,-0.009646,-0.007583
3.599963,-0.009511,-0.000799
3.604963,-0.014603,-0.002713
3.609963,-0.013917,-0.005345
3.614963,-0.008064,-0.013624
3.619963,-0.001210,-0.017631
3.624963,0.007714,-0.014631
3.629963,0.007492,-0.013245
3.634963,0.005627,-0.019898
3.639963,0.002494,-0.026675
3.644963,0.008024,-0.017659
3.649963,0.011058,-0.005448
3.654963,0.011774,0.000912
3.659963,0.015116,-0.001915
3.664963,0.003604,-0.017343
3.669963,0.008826,-0.030873
3.674963,0.019450,-0.031796
3.679963,0.018301,-0.023282
3.684963,0.022081,-0.020239
3.689963,0.018593,-0.020762
3.694963,0.019075,-0.017164
3.699963,0.009897,-0.016012
3.704963,0.001678,-0.008616
3.709963,0.013474,0.001628
3.714963,0.014528,0.000111
3.719963,0.018750,-0.007609
3.724963,0.017497,-0.009763
3.729963,0.012218,0.003953
3.734963,0.013523,0.012533
3.739963,-0.000957,0.007105
3.744963,-0.004685,0.000456
3.749963,-0.004428,-0.004887
3.754963,-0.004556,0.005439
3.759963,0.003419,0.016746
3.764963,-0.004634,0.012171
3.769963,-0.007742,0.001930
3.774963,-0.006040,-0.007235
3.779963,-0.003910,0.003137
3.784963,0.003552,0.011119
3.789963,-0.010357,-0.002487
3.794963,-0.016384,-0.003845
3.799963,-0.007537,0.003408
3.804963,-0.009958,0.008445
3.809963,-0.013482,0.007795
3.814963,-0.018692,0.001196
3.819963,-0.013279,0.005828
3.824963,-0.005643,0.005627
3.829963,-0.010470,0.002929
3.834963,-0.005563,0.005346
3.839963,-0.007003,0.006431
3.844963,-0.011441,0.017118
3.849963,-0.006851,0.012481
3.854963,-0.015417,-0.001555
3.859963,-0.011888,0.013324
3.864963,-0.003823,0.022567
3.869963,-0.008975,0.013937
3.874963,0.001459,0.016263
3.879963,-0.000450,0.019926
3.884963,-0.008136,0.022472
3.889963,0.000273,0.023354
3.894963,-0.007001,0.018495
3.899963,-0.005507,0.023743
3.904963,0.004074,0.026983
3.909963,-0.007052,0.016023
3.914963,-0.002637,0.020682
3.919963,0.005676,0.029966
3.924963,-0.001779,0.023587
3.929963,0.004955,0.030446
3.934963,0.003386,0.029584
3.939963,-0.011198,0.014042
3.944963,-0.001520,0.020913
3.949963,0.002105,0.028592
3.954963,-0.014457,0.021858
3.959963,-0.008694,0.026302
3.964963,-0.002681,0.025346
3.969963,-0.016545,0.013487
3.974963,-0.013940,0.023150
3.979963,-0.009236,0.032437
3.984963,-0.021890,0.026660
3.989963,-0.019814,0.029463
3.994963,-0.014464,0.031376
3.999963,-0.025829,0.025740
4.004963,-0.026205,0.029956
4.009963,-0.018677,0.038556
4.014963,-0.022014,0.035243
4.019963,-0.025736,0.025725
4.024963,-0.017252,0.033158
4.029963,-0.008329,0.028434
4.034963,-0.021128,0.004029
4.039963,-0.021597,0.006677
4.044963,-0.004557,0.015780
4.049963,-0.008081,0.001537
